number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_optimizer,state
0,0.8491358024691358,2026-06-18 18:44:03.728547,2026-06-18 18:44:32.498761,0 days 00:00:28.770214,32,0.5802857225639664,0.0005611516415334506,adam,COMPLETE
1,0.8,2026-06-18 18:44:32.499206,2026-06-18 18:44:58.964119,0 days 00:00:26.464913,128,0.4404460046972835,0.005399484409787433,adam,COMPLETE
2,0.7180246913580247,2026-06-18 18:44:58.964536,2026-06-18 18:45:25.754479,0 days 00:00:26.789943,64,0.27336180394137355,0.0002310201887845295,sgd,COMPLETE
3,0.5622222222222222,2026-06-18 18:45:25.754895,2026-06-18 18:45:52.145535,0 days 00:00:26.390640,128,0.3168578594140873,0.00019010245319870352,sgd,COMPLETE
4,0.8385185185185186,2026-06-18 18:45:52.145913,2026-06-18 18:46:20.577701,0 days 00:00:28.431788,32,0.2185801650879991,0.0015304852121831463,sgd,COMPLETE
